type,value
CCN(worst),9
CCN(average),2.1
CCN(violate),0
LOC(worst),67
LOC(average),15.1
LOC(violate),0
Parameter(worst),9
Parameter(average),2.0
Parameter(violate),1
Token(worst),732
Token(average),125.5
CCN(warning),0
LOC(warning),3
Parameter(warning),1
