type,value
CCN(worst),62
CCN(average),2.3
CCN(violate),15
LOC(worst),310
LOC(average),12.1
LOC(violate),6
Parameter(worst),13
Parameter(average),1.1
Parameter(violate),8
Token(worst),3337
Token(average),63.1
CCN(warning),655
LOC(warning),822
Parameter(warning),8
