type,value
CCN(worst),22
CCN(average),1.7
CCN(violate),1
LOC(worst),51
LOC(average),7.5
LOC(violate),0
Parameter(worst),5
Parameter(average),1.0
Parameter(violate),0
Token(worst),593
Token(average),59.4
CCN(warning),4
LOC(warning),1
Parameter(warning),0
